Euphues: The Anatomy of Wit,Lyly John
Fall on Your Knees,MacDonald Ann-Marie
Dom Casmurro,Machado de Assis Joaquim Maria
The Posthumous Memoirs of Bras Cubas,Machado de Assis Joaquim Maria
Absolute Beginners,MacInnes Colin
The Man of Feeling,Mackenzie Henry
Wild Harbour,MacPherson Ian
Midaq Alley,Mahfouz Naguib
Miramar,Mahfouz Naguib
Remembering Babylon,Malouf David
Man's Fate,Malraux André
Faceless Killers,Mankell Henning
Professor Unrat,Mann Heinrich
Buddenbrooks,Mann Thomas
Death in Venice,Mann Thomas
Doctor Faustus,Mann Thomas
The Magic Mountain,Mann Thomas
Joseph and His Brothers,Mann Thomas
Her Privates We,Manning Frederic
The Garden Party,Mansfield Katherine
Adjunct: An Undigest,Manson Peter
The Betrothed,Manzoni Alessandro
Embers,Marai Sandor
A Heart So White,Marias Javier
All Souls,Marias Javier
Your Face Tomorrow,Marias Javier
The Late-Night News,Markaris Petros
Wittgenstein’s Mistress,Markson David
Vanishing Point,Markson David
Pavel's Letters,Maron Monika
Life of Pi,Martel Yann
Time of Silence,Martín Santos Luis
Santa Evita,Martinez Tomas Eloy
Tirant lo Blanc,Martorell Joanot
The Daughter,Matesis Pavlos
Cigarettes,Mathews Harry
Melmoth the Wanderer,Maturin Charles Robert
The Albigenses,Maturin Charles Robert
Of Human Bondage,Maugham W. Somerset
The Razor’s Edge,Maugham W. Somerset
Cakes and Ale,Maugham W. Somerset
A Woman’s Life,Maupassant Guy de
Bel-Ami,Maupassant Guy de
Pierre and Jean,Maupassant Guy de
Vipers' Tangle,Mauriac Francois
Don’t Move,Mazzantini Margaret
The Butcher Boy,McCabe Patrick
All the Pretty Horses,McCarthy Cormac
Blood Meridian,McCarthy Cormac
"They Shoot Horses, Don’t They?",McCoy Horace
Atonement,McEwan Ian
